NestID,Treatment,TL,Metric,Score
90,TMS Control,461,Flex,1
90,TMS Control,461,Gill,1
91,PES,426,Tail,1
91,PES,426,Eyes,1
91,PES,426,Equilibrium,1
91,PES,426,Flex,0
91,PES,426,Gill,0
92,PES,433,Tail,0
92,PES,433,Eyes,1
92,PES,433,Equilibrium,0
92,PES,433,Flex,0
92,PES,433,Gill,1
93,Angled Control,391,Tail,1
93,Angled Control,391,Eyes,1
93,Angled Control,391,Equilibrium,1
93,Angled Control,391,Flex,1
93,Angled Control,391,Gill,1
94,TENS,450,Tail,1
94,TENS,450,Eyes,1
94,TENS,450,Equilibrium,1
94,TENS,450,Flex,1
94,TENS,450,Gill,1
95,TENS,478,Tail,0
95,TENS,478,Eyes,1
95,TENS,478,Equilibrium,1
95,TENS,478,Flex,0
95,TENS,478,Gill,1
97,TENS,401,Tail,1
97,TENS,401,Eyes,1
97,TENS,401,Equilibrium,1
97,TENS,401,Flex,1
97,TENS,401,Gill,1
98,Angled Control,395,Tail,0
98,Angled Control,395,Eyes,1
98,Angled Control,395,Equilibrium,1
98,Angled Control,395,Flex,1
98,Angled Control,395,Gill,1
99,TMS,404,Tail,0
99,TMS,404,Eyes,1
99,TMS,404,Equilibrium,1
99,TMS,404,Flex,1
99,TMS,404,Gill,1
102,TMS Control,431,Tail,1
102,TMS Control,431,Eyes,1
102,TMS Control,431,Equilibrium,1
102,TMS Control,431,Flex,1
102,TMS Control,431,Gill,1
103,TENS,368,Tail,0
103,TENS,368,Eyes,1
103,TENS,368,Equilibrium,1
103,TENS,368,Flex,0
103,TENS,368,Gill,1
104,Angled Control,319,Tail,1
104,Angled Control,319,Eyes,1
104,Angled Control,319,Equilibrium,1
104,Angled Control,319,Flex,1
104,Angled Control,319,Gill,1
105,TMS,475,Tail,0
105,TMS,475,Eyes,1
105,TMS,475,Equilibrium,0
105,TMS,475,Flex,1
105,TMS,475,Gill,1
106,TENS Control,490,Tail,1
106,TENS Control,490,Eyes,1
106,TENS Control,490,Equilibrium,1
106,TENS Control,490,Flex,1
106,TENS Control,490,Gill,1
107,TMS,465,Tail,0
107,TMS,465,Eyes,1
107,TMS,465,Equilibrium,1
107,TMS,465,Flex,1
107,TMS,465,Gill,1
109,TENS Control,475,Tail,1
109,TENS Control,475,Eyes,1
109,TENS Control,475,Equilibrium,1
109,TENS Control,475,Flex,1
109,TENS Control,475,Gill,1
110,Angled Control,373,Tail,1
110,Angled Control,373,Eyes,1
110,Angled Control,373,Equilibrium,1
110,Angled Control,373,Flex,1
110,Angled Control,373,Gill,1
111,PES,410,Tail,0
111,PES,410,Eyes,1
111,PES,410,Equilibrium,1
111,PES,410,Flex,0
111,PES,410,Gill,0
112,PES,448,Tail,0
112,PES,448,Eyes,1
112,PES,448,Equilibrium,1
112,PES,448,Flex,0
112,PES,448,Gill,1
114,TENS Control,425,Tail,0
114,TENS Control,425,Eyes,1
114,TENS Control,425,Equilibrium,1
114,TENS Control,425,Flex,1
114,TENS Control,425,Gill,1
115,PES,371,Tail,0
115,PES,371,Eyes,1
115,PES,371,Equilibrium,1
115,PES,371,Flex,0
115,PES,371,Gill,1
117,TENS Control,385,Tail,1
117,TENS Control,385,Eyes,1
117,TENS Control,385,Equilibrium,1
117,TENS Control,385,Flex,1
117,TENS Control,385,Gill,1
119,PES,394,Tail,0
119,PES,394,Eyes,1
119,PES,394,Equilibrium,1
119,PES,394,Flex,0
119,PES,394,Gill,0
120,TENS Control,420,Tail,0
120,TENS Control,420,Eyes,1
120,TENS Control,420,Equilibrium,1
120,TENS Control,420,Flex,1
120,TENS Control,420,Gill,1
147,TMS Control,494,Tail,0
147,TMS Control,494,Eyes,1
147,TMS Control,494,Equilibrium,1
147,TMS Control,494,Flex,1
147,TMS Control,494,Gill,1
154,Angled Control,450,Tail,0
154,Angled Control,450,Eyes,1
154,Angled Control,450,Equilibrium,1
154,Angled Control,450,Flex,1
154,Angled Control,450,Gill,1
320,TENS,472,Tail,0
320,TENS,472,Eyes,1
320,TENS,472,Equilibrium,1
320,TENS,472,Flex,1
320,TENS,472,Gill,1
321,TMS Control,486,Tail,0
321,TMS Control,486,Eyes,1
321,TMS Control,486,Equilibrium,1
321,TMS Control,486,Flex,1
321,TMS Control,486,Gill,1
322,TMS,452,Tail,0
322,TMS,452,Eyes,1
322,TMS,452,Equilibrium,1
322,TMS,452,Flex,1
322,TMS,452,Gill,1
333,Angled Control,345,Tail,1
333,Angled Control,345,Eyes,1
333,Angled Control,345,Equilibrium,1
333,Angled Control,345,Flex,1
333,Angled Control,345,Gill,1
363,TMS,411,Tail,1
363,TMS,411,Eyes,1
363,TMS,411,Equilibrium,1
363,TMS,411,Flex,1
363,TMS,411,Gill,1
088a,TENS,492,Tail,1
088a,TENS,492,Eyes,1
088a,TENS,492,Equilibrium,1
088a,TENS,492,Flex,1
088a,TENS,492,Gill,1
M123,TMS Control,454,Tail,1
M123,TMS Control,454,Eyes,1
M123,TMS Control,454,Equilibrium,1
M123,TMS Control,454,Flex,1
M123,TMS Control,454,Gill,1
M166,PES,486,Tail,0
M166,PES,486,Eyes,1
M166,PES,486,Equilibrium,1
M166,PES,486,Flex,0
M166,PES,486,Gill,0
