Test Date,Nest,Treatment,Diver,EggScore,EggStage,RAMP,StartTime,Gone,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,FanCount,FanPerc,FanProp,GuardCount,GuardPerc,GuardProp,ChaseCount,ChasePerc,ChaseProp,ReturnCount,ReturnPerc,ReturnProp,AbsentCount,AbsentPerc,AbsentProp,PredCount,FishChase,DiverChase,Jar,Notes
18/05/2022,51,TENS Control,Laura,3,E,4,14:35,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
16/05/2022,52,TENS,Connor,4,E,4,09:38,0,R,G,R,F,F,F,R,F,F,F,G,G,F,F,F,F,F,F,F,F,F,15,71.42857143,0.714285714,3,14.28571429,0.142857143,0,0,0,3,14.28571429,0.142857143,0,0,0,0,0,0,36,Fled before 5 min; ~cruiser | Fled jar too
14/05/2022,53,TMS Control,Connor,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fish fled 1 min before 5 min trial, did not come back"
20/05/2022,54,TENS Control,Declan,3,E,5,BOOK,0,G,G,G,F,G,G,F,F,F,F,G,G,G,G,G,F,F,F,F,F,F,11,52.38095238,0.523809524,10,47.61904762,0.476190476,0,0,0,0,0,0,0,0,0,0,0,0,23,
18/05/2022,55,TMS Control,Laura,3,E,4,15:51,0,G,G,G,F,F,F,F,G,F,F,F,G,G,G,F,F,F,G,F,F,F,13,61.9047619,0.619047619,8,38.0952381,0.380952381,0,0,0,0,0,0,0,0,0,0,0,0,37,Super aggressive
18/05/2022,56,PES,Laura,3,E,3,15:01,0,G,G,G,F,F,F,F,F,G,G,G,G,G,F,F,F,F,F,G,G,G,10,47.61904762,0.476190476,11,52.38095238,0.523809524,0,0,0,0,0,0,0,0,0,0,0,0,33,
19/05/2022,58,TENS Control,Laura,3,E,5,14:51,0,G,G,G,F,F,F,F,G,G,G,G,G,G,F,F,G,F,F,G,F,F,10,47.61904762,0.476190476,11,52.38095238,0.523809524,0,0,0,0,0,0,0,0,0,0,0,0,22,
20/05/2022,61,TENS,Connor,3,E,4,09:52,0,F,F,G,R,F,F,G,F,F,F,F,F,F,F,F,G,G,E,C,F,F,14,66.66666667,0.666666667,4,19.04761905,0.190476191,1,4.761904762,0.047619048,1,4.761904762,0.047619048,0,0,0,0,1,2,3,Declan splashed ~4 min in
14/05/2022,62,TMS Control,Jamie,4,E,5,13:00,0,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,20,95.23809524,0.952380952,1,4.761904762,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,10,INITIAL EGG SCORE ADDED AS 1 H SCORE MISSING
17/05/2022,63,TMS,Connor,3,E,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fish gone from nest, but was in the area cruising"
14/05/2022,65,TENS,Jamie,3,NA,5,13:29,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,INITIAL EGG SCORE ADDED AS 1 H SCORE MISSING | Looked at jar for ~30 s
16/05/2022,66,Angled Control,Laura,4,E,5,12:22,0,F,F,C,C,C,G,C,C,G,G,C,G,G,G,G,C,G,F,F,F,F,6,28.57142857,0.285714286,8,38.0952381,0.380952381,7,33.33333333,0.333333333,0,0,0,0,0,0,2,7,0,26,"Lots of algae in nest, also lots of bluegill"
18/05/2022,67,TENS Control,Laura,3,E,5,16:17,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,
18/05/2022,68,TMS,Laura,4,E,4,14:01,0,G,F,F,G,F,F,A,A,A,G,G,F,F,G,G,F,G,F,F,G,G,9,42.85714286,0.428571429,9,42.85714286,0.428571429,0,0,0,0,0,0,3,14.28571429,0.142857143,0,0,0,12,
20/05/2022,69,TENS,Connor,5,E,4,12:08,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"""Prick"""
17/05/2022,70,TENS,Declan,4,E,4,09:45,0,F,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,20,95.23809524,0.952380952,1,4.761904762,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,39,
20/05/2022,72,TMS,Connor,3,E,4,12:24,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
20/05/2022,73,Angled Control,Jess,3,E,5,BOOK,0,G,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,19,90.47619048,0.904761905,2,9.523809524,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,26,
14/05/2022,74,TENS,Connor,3,E,5,17:03,0,F,F,F,F,F,R,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,20,95.23809524,0.952380952,0,0,0,0,0,0,1,4.761904762,0.047619048,0,0,0,0,1,0,24,
16/05/2022,75,TMS,Laura,4,E,5,11:45,0,G,G,F,F,F,G,G,G,G,G,G,F,F,G,C,C,G,F,G,G,G,6,28.57142857,0.285714286,13,61.9047619,0.619047619,2,9.523809524,0.095238095,0,0,0,0,0,0,0,2,0,20,"Fish mostly just watched bluegill, only attacked in bursts"
13/05/2022,76,TENS,Connor,3,E,4,11:52,0,F,F,F,F,F,F,F,F,F,F,F,F,R,F,F,F,F,F,F,F,F,20,95.23809524,0.952380952,0,0,0,0,0,0,1,4.761904762,0.047619048,0,0,0,0,1,0,18,Fled for a bit when jar placed
17/05/2022,77,Angled Control,Declan,3,E,4,10:07,0,G,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G,F,F,F,18,85.71428571,0.857142857,3,14.28571429,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,19,
17/05/2022,78,TMS Control,Laura,3,E,4,10:51,0,F,F,F,F,F,F,G,F,F,F,G,G,F,F,F,G,G,F,F,C,C,14,66.66666667,0.666666667,5,23.80952381,0.238095238,2,9.523809524,0.095238095,0,0,0,0,0,0,0,0,2,22,
18/05/2022,79,TMS Control,Jamie,3,E,4,17:06,0,F,F,F,F,F,F,F,F,F,F,F,R,F,F,F,F,F,F,F,F,F,20,95.23809524,0.952380952,0,0,0,0,0,0,1,4.761904762,0.047619048,0,0,0,0,0,0,12,
17/05/2022,80,TMS Control,Connor,3,E,5,09:58,0,F,F,F,F,F,R,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,20,95.23809524,0.952380952,0,0,0,0,0,0,1,4.761904762,0.047619048,0,0,0,0,1,0,12,
14/05/2022,81,TENS Control,Connor,3,E,4,16:46,0,F,F,F,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,20,95.23809524,0.952380952,1,4.761904762,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,20,
21/05/2022,82,TMS Control,Declan,3,E,5,12:48,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Missing jar strikes?
20/05/2022,83,TENS Control,Declan,3,E,4,BOOK,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
21/05/2022,84,TENS Control,Declan,3,E,4,10:16,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Declan's/Laura's ~8 min ahead?
20/05/2022,85,Angled Control,Declan,3,E,5,10:49,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,
17/05/2022,86,TENS Control,Connor,3,E,4,10:11,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"Fled jar for ~10 s, black patches on L side (pre-existing)"
16/05/2022,87,TENS Control,Connor,4,E,4,12:14,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,"Bad jar placement, needed to be fixed several times (deep nest)"
13/05/2022,88,PES,Connor,3,E,3,13:01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fish gone - maybe abandoned?
17/05/2022,90,TMS Control,Declan,3,E,4,12:52,0,G,G,F,F,G,F,F,G,F,F,F,F,F,F,F,F,F,F,F,F,F,17,80.95238095,0.80952381,4,19.04761905,0.190476191,0,0,0,0,0,0,0,0,0,0,0,0,14,"INITIAL EGG SCORE ADDED AS 1 H SCORE MISSING | Very ""standoffish"", wasn't sitting on nest for BG trial"
18/05/2022,91,PES,Laura,3,E,3,16:33,0,F,F,G,A,A,A,G,F,A,F,G,F,F,F,G,G,F,G,G,F,F,10,47.61904762,0.476190476,7,33.33333333,0.333333333,0,0,0,0,0,0,4,19.04761905,0.190476191,0,0,0,22,Fish kept hanging out 5-10 ft. from nest
17/05/2022,92,PES,Laura,3,E,2,10:05,0,NA,G,G,G,G,F,F,G,F,G,G,G,C,C,C,C,C,F,F,F,G,6,30,0.3,9,45,0.45,5,25,0.25,0,0,0,0,0,0,0,1,0,3,"Fish spent a lot of time outside the nest, not chasing predators but just hanging out 5-10 ft away | Kept leaving during bluegill test"
14/05/2022,93,Angled Control,Declan,2,E,5,NA,0,F,G,G,G,G,G,G,G,G,G,G,G,F,G,G,F,G,G,G,G,F,4,19.04761905,0.190476191,17,80.95238095,0.80952381,0,0,0,0,0,0,0,0,0,0,0,1,15,Declan swam?
18/05/2022,94,TENS,Laura,4,E,5,13:33,0,G,G,G,F,F,G,F,F,F,G,G,G,G,G,G,F,F,G,G,F,F,9,42.85714286,0.428571429,12,57.14285714,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,28,Nest ~50% Saprolegnia
21/05/2022,95,TENS,Declan,3,E,3,11:50,0,G,G,F,F,F,G,G,R,F,F,F,F,F,F,F,F,F,F,F,G,G,14,66.66666667,0.666666667,6,28.57142857,0.285714286,0,0,0,1,4.761904762,0.047619048,0,0,0,0,0,0,NA,Declan's/Laura's ~8 min ahead? | Fish absent for jar
20/05/2022,97,TENS,Connor,4,E,5,13:01,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,
