ColOrder,Date,Fish,FL,Mass,Treatment,Tank,Temperature,Time,Rheo1,XSwimTime,SwimTime,SwimStarts,Turns,DirectionChanges,Upstreams,Downstreams,EdgeCount,OuterCount,InnerCount,PosCount,NeuCount,NegCount,Surfaces,Notes
76,13/04/2024,68,242,79.3,MS-222,9,14.4,14:03:08,Positive,00:10,10,1,0,2,1,-5,22,30,8,54,6,0,0,
77,13/04/2024,69,234,67,TENS,8,14.3,14:47:13,Negative,00:43,43,1,2,4,2,-6,59,1,0,57,2,1,6,
79,14/04/2024,70,238,70.5,TENS,5,14.3,08:48:20,Negative,02:08,128,15,4,10,7,-6,40,20,0,54,6,0,8,
80,14/04/2024,71,255,86.5,Handling,7,14.3,09:02:34,Negative,04:47,287,4,25,27,27,-24,35,14,11,40,11,9,22,
81,14/04/2024,72,244,81,Clove oil,9,14.3,09:26:26,Positive,00:34,34,1,0,1,1,-23,45,15,0,59,1,0,5,
82,14/04/2024,73,227,63.6,MS-222,4,14.3,09:46:44,Negative,03:34,214,3,2,5,14,-7,53,5,2,54,3,3,11,
83,14/04/2024,74,235,62.7,TENS,6,14.3,10:04:32,Positive,03:21,201,8,22,28,4,-30,54,6,0,38,13,9,21,
84,14/04/2024,75,238,64.7,MS-222,8,14.3,10:33:48,Positive,00:09,9,2,0,8,1,0,0,0,60,55,5,0,0,
85,14/04/2024,76,256,86.5,Clove oil,10,14.3,11:07:59,Positive,00:16,16,1,0,1,0,-2,58,1,1,58,2,0,0,
86,14/04/2024,77,218,55.4,TENS,12,NA,11:20:05,Negative,01:26,86,3,7,15,5,-18,54,6,0,48,8,4,8,
88,14/04/2024,78,238,65.9,Clove oil,4,14.2,12:53:45,Positive,00:06,6,1,0,1,0,-4,0,0,60,1,59,0,0,
89,14/04/2024,79,225,59.9,Handling,5,14.2,13:15:39,Negative,01:28,88,11,6,7,2,-10,58,2,0,56,1,3,7,
90,14/04/2024,80,214,57.5,MS-222,9,14.2,13:40:40,Positive,00:46,46,3,2,5,0,-3,47,10,3,54,5,1,0,
91,14/04/2024,81,230,62,Handling,12,14.2,13:54:07,Positive,01:03,63,6,3,8,2,-4,58,1,1,56,4,0,5,
92,15/04/2024,82,217,53.9,TENS,5,14.3,08:39:34,Positive,03:53,233,8,14,31,4,-26,52,5,2,39,14,7,11,
93,15/04/2024,83,221,55,Handling,7,14.2,08:51:54,Negative,03:16,196,18,8,21,17,-14,41,14,5,45,13,2,10,
95,15/04/2024,84,213,50.3,Clove oil,9,14.2,09:45:43,Neutral,00:05,5,1,0,2,0,-2,0,0,60,11,49,0,0,
96,15/04/2024,85,219,52.4,MS-222,4,14.3,10:03:07,Negative,00:51,51,6,1,9,0,-8,51,9,0,55,5,0,1,
97,15/04/2024,86,205,47.9,TENS,6,14.3,10:18:34,Negative,02:28,148,4,20,22,2,-25,60,0,0,44,7,9,11,
98,15/04/2024,87,218,48.6,MS-222,8,14.3,10:56:46,Positive,00:36,36,1,0,1,0,-4,53,6,1,58,2,0,5,
99,15/04/2024,88,218,58.1,MS-222,10,14.3,11:15:17,Negative,02:33,153,2,0,1,7,-3,55,5,0,59,1,0,5,
100,15/04/2024,89,208,50.3,Handling,7,14.3,11:28:45,Positive,03:14,194,3,0,22,17,0,59,1,0,47,13,0,34,
101,15/04/2024,90,239,70.1,Clove oil,12,14.3,11:51:49,Positive,00:05,5,1,0,1,0,-7,0,43,17,52,8,0,0,
104,15/04/2024,91,233,69.7,Handling,4,14.3,14:12:24,Positive,00:08,8,1,0,3,0,0,0,0,60,38,22,0,0,
105,15/04/2024,92,221,55.9,Clove oil,5,14.2,14:51:26,Negative,01:01,61,3,1,1,4,-1,55,4,1,59,1,0,4,
106,15/04/2024,93,250,82.9,TENS,8,14.2,15:05:33,Negative,03:10,190,7,17,21,8,-22,56,4,0,44,8,8,11,
108,16/04/2024,94,247,75.5,Handling,5,NA,08:54:27,Negative,01:40,100,10,5,8,16,-10,50,5,5,53,6,1,9,
109,16/04/2024,95,251,84.6,Clove oil,7,14.3,09:16:46,Positive,00:05,5,1,0,2,0,-2,38,18,4,39,21,0,1,
110,16/04/2024,96,223,56.7,Handling,9,14.3,09:33:25,Positive,04:11,251,9,8,10,17,-17,57,3,0,50,2,8,13,
111,16/04/2024,97,220,57.2,TENS,4,14.3,09:47:20,Positive,04:55,295,4,3,15,36,-12,46,14,0,52,7,1,11,
112,16/04/2024,98,214,52.7,Clove oil,6,14.3,10:22:14,Negative,00:56,56,5,0,2,2,-4,29,19,12,44,15,1,0,
113,16/04/2024,99,218,55.6,Handling,8,14.3,10:37:52,Negative,03:50,230,10,6,29,6,-12,55,4,1,43,16,1,20,
114,16/04/2024,100,228,57.4,TENS,10,14.3,11:09:39,Negative,01:21,81,6,4,7,3,-12,50,10,0,56,2,2,7,
115,16/04/2024,101,224,58.5,MS-222,12,14.3,11:25:46,Positive,NA,NA,10,2,11,5,-12,16,28,16,42,17,1,0,
116,16/04/2024,102,234,65.8,MS-222,9,14.3,11:45:13,Positive,02:51,171,13,2,5,6,-5,56,4,0,56,3,1,1,
118,16/04/2024,103,220,51.5,Clove oil,5,14.2,13:04:03,Negative,00:11,11,1,0,1,0,-4,0,44,16,39,21,0,0,
119,16/04/2024,104,210,45.2,TENS,6,14.3,14:04:03,Positive,01:50,110,6,0,5,10,0,54,3,3,56,4,0,9,
120,16/04/2024,105,245,73.3,MS-222,10,14.4,14:28:14,Positive,00:12,12,2,0,0,1,-1,59,1,0,60,0,0,0,
22,09/04/2024,BB1,230,73.4,BBaseline,7,14.4,08:49:26,Positive,04:39,279,6,25,28,14,-17,58,1,1,40,12,8,24,
78,14/04/2024,BB10,238,75.4,BBaseline,8,14.3,08:31:06,Positive,05:00,300,1,8,15,46,-5,59,1,0,49,9,2,26,
87,14/04/2024,BB11,223,64.6,BBaseline,4,14.3,11:38:18,Negative,04:51,291,7,8,11,49,-4,60,0,0,54,4,2,4,
94,15/04/2024,BB12,218,55.4,BBaseline,12,14.2,09:01:55,Positive,04:53,293,3,2,11,71,-3,60,0,0,54,5,1,27,
102,15/04/2024,BB13,223,57.9,BBaseline,4,14.3,12:39:19,Positive,03:56,236,13,28,41,0,-39,58,2,0,26,20,14,8,
103,15/04/2024,BB14,221,64.8,BBaseline,5,14.3,12:48:40,Positive,03:58,238,14,0,3,62,-3,52,8,0,57,3,0,10,
